geneID,median_adult Ce,mean_adult Ce
WBGene00000483,0.0407263,0.0913408
WBGene00000484,0.165101,0.290556
WBGene00000485,0.247826,0.392746
WBGene00000487,0.0665519,0.0839545
WBGene00000488,0.479975,0.584628
WBGene00000490,0.243478,0.404525
WBGene00000491,0.467879,0.758448
WBGene00000492,0.597256,0.912447
WBGene00000493,0.620433,0.791331
WBGene00000496,104.859,105.949
WBGene00000497,1.155,1.4317
WBGene00000498,51.0618,49.5241
WBGene00000499,6.59273,7.56389
WBGene00000500,62.114,62.0521
WBGene00000501,0.847815,1.24024
WBGene00000502,66.0741,54.7828
WBGene00000503,17.0845,78.3514
WBGene00000506,25.4662,24.0619
WBGene00000507,31.1611,35.5192
WBGene00000508,21.157,22.5245
WBGene00000509,29.1142,30.3836
WBGene00000510,2.97806,3.94278
WBGene00000511,3.08762,3.19289
WBGene00000512,10.4361,11.4419
WBGene00000513,0.06386,0.15225
WBGene00000514,8.37372,8.04821
WBGene00000515,12.8822,14.5322
WBGene00000516,7.00127,13.4116
WBGene00000517,41.6592,36.4616
WBGene00000518,1.6694,2.20143
WBGene00000519,25.5083,31.2253
WBGene00000520,25.4706,27.3187
WBGene00000521,0.0637074,0.250856
WBGene00000522,27.8632,42.9378
WBGene00000523,3.18652,3.89842
WBGene00000524,4.20195,4.72285
WBGene00000525,0.548412,13.8956
WBGene00000526,3.1905,3.76502
WBGene00000527,18.1736,18.8477
WBGene00000528,16.9423,18.0131
WBGene00000529,0.65195,0.829514
WBGene00000530,9.546,9.12216
WBGene00000531,0.526764,0.584197
WBGene00000532,30.8275,28.8937
WBGene00000533,16.8634,18.5541
WBGene00000534,297.404,653.09
WBGene00000535,243.539,884.598
WBGene00000536,37.2143,34.1147
WBGene00000537,19.9857,21.8863
WBGene00000539,3.71503,3.57687
WBGene00000540,9.14917,11.4358
WBGene00000541,2.7784,2.89534
WBGene00000542,81.0681,70.3647
WBGene00000543,20.0333,17.8125
WBGene00000544,0.637027,2.36087
WBGene00000545,10.5493,13.6286
WBGene00000546,1.51094,6.81668
WBGene00000547,46.7627,42.4931
WBGene00000548,27.1944,32.6284
WBGene00000549,31.3609,32.219
WBGene00000550,62.0921,63.0921
WBGene00000551,0.0170963,0.27134
WBGene00000552,317.134,309.847
WBGene00000553,1.73331,2.39702
WBGene00000554,34.0284,35.3658
WBGene00000555,0.497183,11.1851
WBGene00000556,42.2759,172.971
WBGene00000557,22.8828,26.1639
WBGene00000558,31.8773,75.6492
WBGene00000559,1.00E-10,1.03476
WBGene00000560,1.43618,10.8114
WBGene00000561,1.12424,2.11115
WBGene00000562,0.733455,1.20192
WBGene00000563,0.0427377,0.131761
WBGene00000564,20.5212,20.19
WBGene00000565,22.3908,22.6814
WBGene00000566,27.3099,26.6635
WBGene00000567,99.5334,103.859
WBGene00000583,1.01898,1.27646
WBGene00000584,1.0195,1.44825
WBGene00000585,34.7509,33.203
WBGene00000591,12.8105,13.0836
WBGene00000592,19.5552,24.7661
WBGene00000593,0.259795,0.587797
WBGene00000594,38.2555,75.6893
WBGene00000596,9.57786,33.5947
WBGene00000597,891.783,998.525
WBGene00000598,0.0409828,0.0758815
WBGene00000599,34.6446,60.0578
WBGene00000601,30.8731,79.0269
WBGene00000602,20.234,65.1508
WBGene00000603,8.15503,15.9355
WBGene00000606,13.4996,18.6741
WBGene00000608,1077.06,1150.68
WBGene00000609,1694.77,1660.99
WBGene00000610,0.267803,0.429031
WBGene00000611,7.67082,10.5345
WBGene00000612,0.0294304,0.0900247
WBGene00000613,0.130878,0.427072
WBGene00000614,0.0785955,1.42277
WBGene00000615,11.0012,25.1923
WBGene00000616,44.2819,84.8702
WBGene00000617,0.251444,1.36498
WBGene00000618,1.21763,5.27989
WBGene00000620,3.4331,4.18955
WBGene00000621,0.0872586,0.31986
WBGene00000622,0.316421,1.1939
WBGene00000623,0.311554,0.389862
WBGene00000624,0.0440288,0.0857717
WBGene00000625,8.63423,9.59612
WBGene00000626,3.1919,8.47488
WBGene00000627,0.115572,0.375834
WBGene00000628,0.0775054,0.354739
WBGene00000629,0.0255571,0.0541625
