Gene,Start
WBGene00000549,1
WBGene00009456,1
WBGene00009471,1
WBGene00009475,1
WBGene00009485,1
WBGene00009488,1
WBGene00000518,1
WBGene00000506,1
WBGene00009552,1
WBGene00009636,1
WBGene00009569,1
WBGene00009589,1
WBGene00000458,1
WBGene00000455,1
WBGene00009597,1
WBGene00000449,1
WBGene00000441,1
WBGene00009632,1
WBGene00000431,1
WBGene00000246,1
WBGene00009923,1
WBGene00000237,1
WBGene00010178,1
WBGene00010134,1
WBGene00010136,1
WBGene00010138,1
WBGene00000083,1
WBGene00000068,1
WBGene00000057,1
WBGene00010157,1
WBGene00000056,1
WBGene00000049,1
WBGene00000039,1
WBGene00000089,1
WBGene00010192,1
WBGene00010198,1
WBGene00010212,1
WBGene00000031,1
WBGene00010215,1
WBGene00010257,1
WBGene00010259,1
WBGene00000024,1
WBGene00010300,1
WBGene00010113,1
WBGene00010105,1
WBGene00009942,1
WBGene00010013,1
WBGene00009943,1
WBGene00009975,1
WBGene00009996,1
WBGene00010002,1
WBGene00000227,1
WBGene00000199,1
WBGene00000186,1
WBGene00000184,1
WBGene00010012,1
WBGene00000161,1
WBGene00010103,1
WBGene00000148,1
WBGene00010051,1
WBGene00010058,1
WBGene00000136,1
WBGene00000113,1
WBGene00000110,1
WBGene00000108,1
WBGene00010071,1
WBGene00010083,1
WBGene00000551,1
WBGene00000564,1
WBGene00009401,1
WBGene00008857,1
WBGene00000936,1
WBGene00008753,1
WBGene00000931,1
WBGene00000923,1
WBGene00008779,1
WBGene00000917,1
WBGene00000912,1
WBGene00000908,1
WBGene00000907,1
WBGene00000905,1
WBGene00008735,1
WBGene00008859,1
WBGene00008878,1
WBGene00008887,1
WBGene00008901,1
WBGene00008905,1
WBGene00000891,1
WBGene00008921,1
WBGene00000871,1
WBGene00000836,1
WBGene00000950,1
WBGene00008733,1
WBGene00008960,1
WBGene00008570,1
WBGene00008483,1
WBGene00008504,1
WBGene00008515,1
WBGene00008547,1
WBGene00001006,1
WBGene00008549,1
WBGene00008555,1
WBGene00001000,1
WBGene00008565,1
WBGene00000987,1
WBGene00008707,1
WBGene00008582,1
WBGene00008616,1
WBGene00008654,1
WBGene00000961,1
WBGene00008665,1
WBGene00008670,1
WBGene00000958,1
WBGene00008691,1
WBGene00008698,1
WBGene00008948,1
WBGene00008964,1
WBGene00009371,1
WBGene00000750,1
WBGene00009191,1
WBGene00009233,1
WBGene00000761,1
WBGene00000751,1
WBGene00009245,1
WBGene00009257,1
WBGene00009267,1
WBGene00009281,1
WBGene00009288,1
WBGene00000707,1
WBGene00009138,1
WBGene00000705,1
WBGene00009305,1
WBGene00009314,1
WBGene00000630,1
WBGene00000614,1
WBGene00009337,1
WBGene00009342,1
WBGene00000566,1
WBGene00009364,1
WBGene00009180,1
WBGene00009132,1
WBGene00000834,1
WBGene00009023,1
WBGene00008971,1
WBGene00008974,1
WBGene00000832,1
WBGene00000820,1
WBGene00008980,1
WBGene00008987,1
WBGene00008994,1
WBGene00009015,1
WBGene00000819,1
WBGene00009033,1
WBGene00009119,1
WBGene00009043,1
WBGene00009060,1
WBGene00000815,1
WBGene00000803,1
WBGene00009065,1
WBGene00009081,1
WBGene00000800,1
WBGene00009100,1
WBGene00009106,1
WBGene00000914,1
WBGene00001852,1
WBGene00001591,1
WBGene00004901,1
WBGene00004854,1
