wbid,rep 0,rep 1,rep 2
WBGene00008586,3.7225270316478225,3.9166509025474006,3.690332856444868
WBGene00019946,1.7519846067911176,2.155669093880814,1.6726705891832339
WBGene00001602,1.7202016644547222,2.155669093880814,1.7853319340557119
WBGene00014172,2.2605116841734985,2.2752419327408915,1.2322671501362792
WBGene00010700,4.3899688207121885,4.503644838769596,4.735010781626018
WBGene00015025,1.8155504914639176,2.3513337392882123,1.3551704354517087
WBGene00004138,1.8155504914639176,2.18827986811538,1.4780737207671382
WBGene00001883,8.39461955509839,7.634279165287974,4.950091530928019
WBGene00021117,20.980664720312163,17.352289887188768,12.447191935169215
WBGene00001896,3.2457828966018463,3.199213869386939,1.6009770060825677
WBGene00007213,5.1845423791221465,3.6666349667490605,3.3625907622703917
WBGene00018187,10.39694492229149,10.30836265252242,10.0813036928472
WBGene00195182,5.963224466363911,4.373201741831331,3.7825103204314403
WBGene00010584,1.6248528374455269,2.155669093880814,1.6624286487402824
WBGene00001971,12.685316770512175,13.471607753275364,10.388561906135772
WBGene00006773,5.820201225850118,5.155860323460925,5.349527208203166
WBGene00001926,3.2457828966018463,3.5253216117326036,1.7853319340557119
WBGene00001889,9.538805479208733,9.851811813238491,5.257349744216593
WBGene00017311,2.1969457995006985,2.253501416584513,1.6624286487402824
WBGene00008348,3.0233023002470607,2.623090191242931,2.2257353731026663
WBGene00001904,2.9597364155742607,3.166603095152373,2.0311385046865706
WBGene00009587,4.6283408882351775,4.601477161473296,3.936139427075727
WBGene00022117,1.243457529408746,2.025225996942548,1.4166220781094236
WBGene00001906,2.0062481454823082,2.123058319646247,1.3551704354517087
WBGene00020073,2.292294626509894,2.2861121908190793,1.4780737207671382
WBGene00022386,6.880956926327414,6.077114695587428,5.418660306193094
WBGene00004034,3.6271782046386276,4.047093999485667,3.1065422511965783
